0	1.0	1.41	-5.68
0	2.0	0.51	-6.94
0	3.0	2.3	-4.59
0	4.0	2.74	-2.5
0	5.0	-1.59	0.93
0	6.0	-1.72	1.32
0	7.0	-2.45	2.26
0	8.0	-1.45	-0.76
0	9.0	1.16	-8.54
0	10.0	-0.11	-9.9
10	1.0	1.28	-6.35
10	2.0	0.55	-7.59
10	3.0	1.94	-4.12
10	4.0	2.76	-1.77
10	5.0	-1.59	0.93
10	6.0	-1.72	1.32
10	7.0	-2.43	2.46
10	8.0	-1.45	-0.76
10	9.0	1.18	-9.17
10	10.0	-0.1	-9.88
20	3.0	1.53	-3.49
20	4.0	2.73	-1.07
20	5.0	-1.59	0.93
20	6.0	-1.72	1.32
20	7.0	-2.43	2.59
20	8.0	-1.45	-0.76
30	3.0	1.14	-2.99
30	4.0	2.73	-0.42
30	5.0	-1.59	0.93
30	6.0	-1.72	1.32
30	7.0	-2.38	2.82
30	8.0	-1.45	-0.76
40	3.0	0.84	-2.46
40	4.0	2.71	0.34
40	5.0	-1.59	0.93
40	6.0	-1.72	1.32
40	7.0	-2.41	3.35
40	8.0	-1.45	-0.76
50	3.0	0.45	-2.0
50	4.0	2.63	0.94
50	5.0	-1.59	0.93
50	6.0	-1.72	1.32
50	7.0	-2.41	3.76
50	8.0	-1.45	-0.76
60	3.0	0.17	-1.52
60	4.0	2.59	1.68
60	5.0	-1.59	0.93
60	6.0	-1.72	1.32
60	8.0	-1.45	-0.76
70	3.0	-0.1	-0.97
70	4.0	2.53	2.24
70	5.0	-1.59	0.93
70	6.0	-1.72	1.32
70	8.0	-1.45	-0.76
80	3.0	-0.34	-0.39
80	5.0	-1.59	0.93
80	6.0	-1.72	1.32
80	8.0	-1.45	-0.76
90	3.0	-0.55	0.19
90	5.0	-1.59	0.93
90	6.0	-1.72	1.32
90	8.0	-1.45	-0.76
100	3.0	-0.76	0.73
100	5.0	-1.59	0.93
100	6.0	-1.72	1.32
100	8.0	-1.45	-0.76
110	3.0	-0.94	1.21
110	5.0	-1.59	0.93
110	6.0	-1.7	1.32
110	8.0	-1.45	-0.76
120	3.0	-1.19	1.79
120	5.0	-1.59	0.93
120	6.0	-1.7	1.32
120	8.0	-1.45	-0.76
130	3.0	-1.46	2.17
130	5.0	-1.59	0.93
130	6.0	-1.7	1.32
130	8.0	-1.45	-0.76
140	5.0	-1.59	0.93
140	6.0	-1.7	1.32
140	8.0	-1.45	-0.76
140	11.0	0.4	2.98
140	12.0	1.25	2.85
140	13.0	1.01	3.82
150	5.0	-1.59	0.93
150	6.0	-1.7	1.32
150	8.0	-1.45	-0.76
150	11.0	0.34	2.2
150	12.0	1.33	2.64
150	13.0	0.9	3.5
160	5.0	-1.59	0.93
160	6.0	-1.7	1.32
160	8.0	-1.45	-0.76
160	11.0	0.34	1.36
160	12.0	1.36	2.36
160	13.0	0.76	3.12
170	5.0	-1.59	0.93
170	6.0	-1.7	1.32
170	8.0	-1.45	-0.76
170	11.0	0.4	0.55
170	12.0	1.34	1.98
170	13.0	0.74	2.59
170	14.0	4.0	-2.41
170	15.0	3.13	-2.31
170	16.0	3.58	-5.93
180	5.0	-1.59	0.93
180	6.0	-1.7	1.32
180	8.0	-1.51	-0.65
180	11.0	0.42	-0.3
180	12.0	1.38	1.5
180	13.0	0.74	2.0
180	14.0	3.99	-1.8
180	15.0	3.14	-1.8
180	16.0	3.44	-5.17
190	5.0	-1.59	0.93
190	6.0	-1.7	1.32
190	8.0	-1.45	-0.74
190	11.0	0.49	-1.14
190	12.0	1.4	0.97
190	13.0	0.76	1.39
190	14.0	3.92	-1.35
190	15.0	3.13	-1.3
190	16.0	3.35	-4.43
200	5.0	-1.59	0.93
200	6.0	-1.7	1.32
200	8.0	-1.45	-0.76
200	11.0	0.53	-1.97
200	12.0	1.35	0.35
200	13.0	0.78	0.77
200	14.0	3.9	-0.88
200	15.0	3.09	-0.81
200	16.0	3.25	-3.64
210	5.0	-1.59	0.93
210	6.0	-1.7	1.32
210	8.0	-1.55	-0.65
210	11.0	0.58	-2.8
210	12.0	1.38	-0.29
210	13.0	0.77	0.1
210	14.0	3.89	-0.4
210	15.0	3.09	-0.32
210	16.0	3.15	-2.85
220	5.0	-1.59	0.93
220	6.0	-1.7	1.32
220	8.0	-1.52	-0.61
220	11.0	0.6	-3.7
220	12.0	1.32	-0.92
220	13.0	0.75	-0.6
220	14.0	3.82	0.08
220	15.0	3.11	0.13
220	16.0	3.13	-2.04
230	5.0	-1.59	0.93
230	6.0	-1.7	1.32
230	8.0	-1.45	-0.74
230	11.0	0.74	-4.63
230	12.0	1.29	-1.63
230	13.0	0.72	-1.32
230	14.0	3.8	0.57
230	15.0	3.11	0.62
230	16.0	3.0	-1.24
230	17.0	1.42	-8.27
230	18.0	3.29	-6.77
240	5.0	-1.6	0.93
240	6.0	-1.72	1.32
240	8.0	-1.45	-0.76
240	11.0	0.71	-5.59
240	12.0	1.3	-2.37
240	13.0	0.7	-2.13
240	14.0	3.79	1.05
